"","id","ind","press","model_type","corrstruc","aic","edf","p_val","signif_code","r_sq","expl_dev","nrmse","ks_test","tac","prop","adj_n_boot","interaction"
"1",1,"TZA","Tsum","gam","none",49.8029279698512,1.92161798365,0.145480426650042," ",0.138431917325234,0.202109022010106,2.99209821137949,0.9354,FALSE,NA,NA,NA
"2",2,"TZA","Swin","gam","none",48.1301612668538,2.74051115139899,0.0778081535947974,".",0.211018983555376,0.294180955624938,1.14110568920923,0.673,FALSE,NA,NA,NA
"3",3,"TZA","Pwin","gam","none",53.8913347194161,1.00000000016949,0.699198046938659," ",-0.0336827121574585,0.00607431523995034,0.844787377657691,0.9286,FALSE,NA,NA,NA
"4",4,"TZA","Nwin","gam","none",53.8710622289666,1.00000000088651,0.682157734812023," ",-0.0329068803579762,0.00682030738331128,0.891413216651457,0.9602,FALSE,NA,NA,NA
"5",5,"TZA","Fsprat","gam","none",36.6980734203652,3.5198336212087,0.00118201691637337,"**",0.495441517867921,0.563747745147711,2.64961322122675,0.8866,FALSE,1,200,TRUE
"6",6,"TZA","Fher","gam","none",48.3955462729728,1.28850538011946,0.0454647928377975,"*",0.164882875123507,0.206269525447863,1.00701434021394,0.808,FALSE,1,NA,TRUE
"7",7,"TZA","Fcod","gam","none",47.8202019830513,2.12020107148959,0.0749740676544393,".",0.204563130980712,0.269427981057521,1.31592492303645,0.9151,FALSE,NA,NA,NA
"8",8,"MS","Tsum","gam","none",-247.174484588225,1.00000158832666,0.882815797567266," ",-0.0390782211514247,0.000886389292693413,1.30046811305087,0.4734,FALSE,NA,NA,NA
"9",9,"MS","Swin","gam","none",-255.556243756583,1.73986391916181,0.0190933279211799,"*",0.256855594843317,0.306585215507128,1.19828498505873,0.8287,FALSE,0.55,200,FALSE
"10",10,"MS","Pwin","gam","none",-249.428201640582,1.16079257522927,0.202317476774702," ",0.0493364258324707,0.0917796265414932,1.89112732578118,0.7958,FALSE,NA,NA,NA
"11",11,"MS","Nwin","gam","none",-247.158670016476,1.0000006705138,0.931568101796992," ",-0.0396870459071652,0.000300944209437834,1.339840281332,0.3241,FALSE,NA,NA,NA
"12",12,"MS","Fsprat","gam","none",-247.896758635316,1.0000000560612,0.410520353973628," ",-0.0116505004156526,0.0272591363970396,1.13456167243263,0.281,FALSE,NA,NA,NA
"13",13,"MS","Fher","gam","none",-252.196458729212,1.0000021633464,0.032326879419849,"*",0.137279980498541,0.1704615914933,2.2147752169323,0.9775,FALSE,1,NA,TRUE
"14",14,"MS","Fcod","gam","none",-247.31349639027,1.00000073372658,0.700554163556717," ",-0.0337422167409021,0.00601712846006115,1.19743203551979,0.4363,FALSE,NA,NA,NA
"15",15,"rCC","Tsum","gam","none",92.7449714121387,1.00000000024983,9.05745421532211e-05,"***",0.443638188633043,0.465036719844814,1.59664356806947,0.8899,FALSE,1,NA,FALSE
"16",16,"rCC","Swin","gam","none",109.562900665375,1.00000000002907,0.798078384346593," ",-0.0372259691798726,0.00266733732820553,1.00291917299723,0.8621,FALSE,NA,NA,NA
"17",17,"rCC","Pwin","gam","none",108.364325001793,1.00000000004286,0.282845853648249," ",0.00781121178223376,0.0459723190230166,1.06101630885097,0.4733,FALSE,NA,NA,NA
"18",18,"rCC","Nwin","gam","none",105.424834255862,3.27218755327505,0.172375879214927," ",0.172822241619509,0.276925347977917,1.10380268213468,0.536,FALSE,NA,NA,NA
"19",19,"rCC","Fsprat","gam","none",109.599730119517,1.09610179871512,0.960877350425601," ",-0.0352538823851765,0.00839010386902356,0.995824293375623,0.7012,FALSE,NA,NA,NA
"20",20,"rCC","Fher","gam","none",105.497193708262,2.49670173758845,0.151678243962186," ",0.1505478446504,0.232118178198846,1.08359933960981,0.4299,FALSE,NA,NA,NA
"21",21,"rCC","Fcod","gam","none",109.575978502471,1.00000000116844,0.816943316586317," ",-0.0377284860992031,0.00218414802817102,1.0038588422034,0.9272,FALSE,NA,NA,NA
"22",22,"Cops","Tsum","gam","none",31.042594225741,1.77174417680942,0.386249719578447," ",0.0529229734995514,0.117460596833865,0.929254662382311,0.9952,FALSE,NA,NA,NA
"23",23,"Cops","Swin","gam","none",32.4109105129472,1.00000000029317,0.5173232364722," ",-0.0223598032301036,0.01696172767489,0.84441293553397,0.9818,FALSE,NA,NA,NA
"24",24,"Cops","Pwin","gam","none",31.9862828924394,1.00000000011611,0.369706567865664," ",-0.00640697630146558,0.0323009843300054,0.855935011513281,0.9507,FALSE,NA,NA,NA
"25",25,"Cops","Nwin","gam","none",32.8538140613004,1.00000000040965,0.895546807630901," ",-0.0392687313492506,0.000703142949822498,0.833806610282661,0.9913,FALSE,NA,NA,NA
